	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
112	China	168362	1513.0	4638.0		141898.0	1678.0	21826.0	87.0	117.0	3.0	160000000.0	111163.0	1439323776.0	Asia
113	Uganda	164024	12.0	3596.0		100200.0		60228.0		3395.0	74.0	2596017.0	53731.0	48314812.0	Africa
114	El Salvador	162089		4124.0		150662.0		7303.0	8.0	24767.0	630.0	1950448.0	298025.0	6544570.0	North America
115	Ghana	161086	15.0	1445.0		159607.0	15.0	34.0	1.0	4998.0	45.0	2429358.0	75378.0	32229121.0	Africa
116	Namibia	157896		4021.0		153069.0		806.0		60198.0	1533.0	991139.0	377873.0	2622939.0	Africa
117	Martinique	147519		918.0		104.0		146497.0	8.0	393651.0	2450.0	828928.0	2211973.0	374746.0	North America
118	Trinidad and Tobago	141155	374.0	3792.0	5.0	131219.0	691.0	6144.0	18.0	100283.0	2694.0	686393.0	487644.0	1407570.0	North America
119	Guadeloupe	140130		854.0		2250.0		137026.0	19.0	350110.0	2134.0	938039.0	2343656.0	400246.0	North America
120	Brunei	139278	217.0	216.0		136663.0	350.0	2399.0		313020.0	485.0	717784.0	1613183.0	444949.0	Asia
121	Cambodia	135998	18.0	3055.0		132689.0	23.0	254.0		7938.0	178.0	2939061.0	171559.0	17131529.0	Asia
122	Rwanda	129755	4.0	1458.0		45522.0		82775.0	1.0	9594.0	108.0	5178134.0	382872.0	13524439.0	Africa
123	Jamaica	129108	15.0	2919.0	2.0	82176.0	82.0	44013.0		43264.0	978.0	957157.0	320740.0	2984217.0	North America
124	Cameroon	119780		1927.0		117791.0		62.0	13.0	4321.0	70.0	1751774.0	63187.0	27723536.0	Africa
125	Angola	99194		1900.0		97149.0		145.0		2860.0	55.0	1499795.0	43237.0	34687890.0	Africa
126	Malta	87441	408.0	669.0	2.0	77693.0	702.0	9079.0	4.0	197099.0	1508.0	1847584.0	4164602.0	443640.0	Europe
127	DRC	86748		1337.0		50930.0		34481.0		919.0	14.0	846704.0	8968.0	94413020.0	Africa
